[0321/194133.140:ERROR:filesystem_win.cc(148)] DeleteFile C:\Users\MPRANITH\AppData\Local\Google\Chrome\User Data\Crashpad\reports\a840f75c-b682-44a3-b950-2736f1f50a2d.dmp: The process cannot access the file because it is being used by another process. (0x20)
[0509/224315.960:ERROR:process_info.cc(359)] UncheckedAllocate
[0509/224316.497:ERROR:process_info.cc(359)] UncheckedAllocate
[0509/224316.514:ERROR:process_info.cc(359)] UncheckedAllocate
[0509/224342.157:ERROR:file_io.cc(134)] WriteFile: The pipe is being closed. (0xE8)
[0610/185928.622:ERROR:process_info.cc(359)] UncheckedAllocate
[0610/185928.622:ERROR:process_info.cc(359)] UncheckedAllocate
[0610/185928.622:ERROR:process_info.cc(359)] UncheckedAllocate
[0610/190218.944:ERROR:process_info.cc(359)] UncheckedAllocate
[0613/194025.226:ERROR:process_info.cc(359)] UncheckedAllocate
[0617/224520.785:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0620/112858.876:ERROR:process_info.cc(359)] UncheckedAllocate
[0620/112859.085:ERROR:process_info.cc(359)] UncheckedAllocate
[0620/112859.131:ERROR:process_memory_win.cc(73)] ReadMemory at 0x28cec8d0730 of 80 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0620/112859.155:ERROR:process_memory_win.cc(73)] ReadMemory at 0x28cec8d0dd0 of 21212 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0620/112859.155:ERROR:process_memory_win.cc(73)] ReadMemory at 0x28cec8d60c0 of 1012 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0620/112859.155:ERROR:process_memory_win.cc(73)] ReadMemory at 0x28cec8d66d8 of 118 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0620/112859.155:ERROR:process_memory_win.cc(73)] ReadMemory at 0x28cec8d6750 of 962 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0620/112859.155:ERROR:process_memory_win.cc(73)] ReadMemory at 0x28cec8d6b14 of 118 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0620/112859.155:ERROR:process_memory_win.cc(73)] ReadMemory at 0x28cec8d6b8c of 98 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0620/112859.155:ERROR:process_memory_win.cc(73)] ReadMemory at 0x28cec8d6c00 of 58 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
